Store_ID,Store_Name,Store_Type,District,City/Town,Address,Phone,Source,Location_Status,Verification_Note
TN-AS-025,The Arya Vaidya Pharmacy (Coimbatore) Limited,Ayurvedic pharmacy,Coimbatore,Gopalapuram,"Hamilton Police Club Building, State Bank Road, Opp. Railway Station, Coimbatore - 641018",0422-22300392,Business listing,Detailed address,Official business/brand listing
TN-AS-026,The Arya Vaidya Pharmacy Coimbatore Limited,Ayurvedic pharmacy,Coimbatore,Saibaba Colony,"505, Pournami Complex, NSR Road, Coimbatore - 641011",+917708931477,Business listing,Detailed address,Official business/brand listing
TN-AS-027,Shri Hari Ayurveda Clinic - AVP Agency,Ayurvedic clinic/store,Coimbatore,Ganapathy,"1522/A2, SF 470, Sathy Road, Ramakrishnapuram, Ganapathy, Coimbatore - 641006",+917305048697,Business listing,Detailed address,Official business/brand listing
TN-AS-028,A T Rathinam Chetty Herbals,Herbal/Ayurvedic store,Madurai,Madurai Main,"261, E Masi Street, Madurai Main, Madurai - 625001",+917708580858,Business listing,Detailed address,Official business/brand listing
TN-AS-029,AYURVEDA PHARMACY TOWN & THIRUNAGAR,Ayurvedic clinic/pharmacy,Madurai,Madurai Main / Thiru Nagar,"55, Town Hall Road, First Stop, Madurai; Thiru Nagar, Madurai - 625001",+919042578969,Business listing,Detailed address,Official business/brand listing
TN-AS-030,VISWANATHAN AYUSH MEDICAL AGENCIES,Herbal/Ayurvedic store,Salem,Swarnapuri,"4, Srinivasa Complex, 165, Omalur Main Road, Ram Nagar, Swarnapuri, Salem - 636004",0427-2332775,Business listing,Detailed address,Official business/brand listing
TN-AS-031,The Adaiyar Pharmacy,Ayurvedic/pharmacy store,Erode,Erode Fort,"9, Kanidha Medhai Ramanujar Street, near Shiga Petals, Erode Fort, Erode - 638001",+917448849492,Business listing,Detailed address,Official business/brand listing
TN-AS-032,Jothi Herbals,Herbal/Ayurvedic store,Cuddalore,Chidambaram,"158/66, E Car Street, Chidambaram - 608001",+919488800014,Business listing,Detailed address,Official business/brand listing
TN-AS-033,Sri Ayurveda and Siddha Pharmacy,Ayurvedic/Siddha pharmacy,Cuddalore,Srimushnam,"186, V.O.C Street, Malaimedu, Srimushnam - 608703",+919345778911,Business listing,Detailed address,Official business/brand listing
TN-AS-034,Surapi Ayurveda And Siddha Medical Agencies,Ayurvedic/Siddha store,Thanjavur,Dharasuram,"No 9 New Lakshmi Nagar, near Kooturavu, Dharasuram, Tamil Nadu 612702",+919976120990,Business listing,Detailed address,Official business/brand listing
TN-AS-035,Samrakshya Ayurveda Hospital,Ayurvedic hospital/pharmacy,Karur,Madavilagam,"South Street, Madavilagam, Karur - 639001",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-036,SRI VENKATARAMANA VAIDYASALAI,Ayurvedic clinic/pharmacy,Karur,Madavilagam,"S Madavallagam Road, Madavilagam, Karur - 639001",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-037,Sri Saravana Nattu Marunthukadai,Traditional/Ayurvedic store,Karur,Jawahar Bazaar,"64, Old Dindigul Road, Ramakrishna Puram East, Jawahar Bazaar, Karur - 639001",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-038,Nalan Iyarkai Angadi,Natural/Ayurvedic store,Karur,Karur 2,"31, 3rd Cross Road, Vaiyapuri Nagar, Ramanujam Nagar, Karur - 639002",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-039,Patanjali Arogya Kendra,Ayurvedic store,Karur,Gandhigramam,"43/2, Trichy-Karur Main Road, North Gandhi Gramam, Karur - 639004",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-040,Arokia Siddha and Ayurvedic Hospital,Ayurvedic/Siddha hospital,Karur,Gandhigramam,"36/2, Trichy Road, near KVB Bank, Tamil Nadu Housing Board Colony, Gandhigramam, Karur - 639004",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-041,Aagamam Naattu Marundhu Kadai,Traditional/Ayurvedic store,Karur,Pasupathipalayam,"No 1A, Gandhi Gramam, Karuppagoundan Pudhur East, opposite Theresa School, Karur - 639004",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-042,Iswarya Siddha Clinic,Siddha/Ayurvedic clinic,Karur,Gandhigramam,"35/2, Trichy-Karur Main Road, Kulantha Goundanoor, Gandhigramam, Karur - 639004",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-043,Green Pharmacy Hall,Herbal/Ayurvedic pharmacy,Karur,Vengamedu,"2nd Bus Stop, Salem Main Road, Vengamedu, Karur - 639006",,Local directory,Detailed address,Directory identification; verify before production use
TN-AS-044,SR Sai Baba Patanjali Agency,Ayurvedic store,Ranipet,Kainoor,"4th Cross, West Street, Kainoor, Ranipet",,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-045,Agasthiyar Ayurvedic Consulting Center,Ayurvedic store/clinic,Ranipet,Stuartpet,"Dasildar Street, Stuartpet, Ranipet",,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-046,TKP Nattu Ayurvedic Shop,Traditional/Ayurvedic store,Ranipet,Gandhi Road,"Gandhi Road, Ranipet",,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-047,Kumaran Medicals,Ayurvedic medicine store,Kallakurichi,Chinnasalem,"Chinnasalem, Kallakurichi",,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-048,OM Sakthi Medicals,Ayurvedic medicine store,Kallakurichi,Gandhi Road,"72, Gandhi Road, Kallakurichi",,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-049,Vikraman Nattu Marunthu Kadai,Traditional/Ayurvedic store,Kallakurichi,Kallakurichi,Kallakurichi district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-050,Patanjali Arogya Kendra - Azagesan,Ayurvedic store,Namakkal,Namakkal,"No 90, Ground Floor, KVA Complex, Thuraiyur Road, Namakkal - 637002",+919443268495,Official Patanjali listing,Detailed address,Official business/brand listing
TN-AS-051,Patanjali Arogya Kendra - SS Market,Ayurvedic store,Kanchipuram,Mangadu,"S No 122/2, Plot No 23, Mangadu, Om Sakthi Nagar, Kanchipuram - 600122",+919444538320,Official Patanjali listing,Detailed address,Official business/brand listing
TN-AS-052,Saroja Homeo Drugs And Ayurvedic Shop,Ayurvedic/Homeo store,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-053,Punnagai Medicals,Ayurvedic medicine store,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-054,Surya Medical Hall And Babycare Center,Ayurvedic medicine store,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-055,Muthu Medicals,Ayurvedic medicine store,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-056,Sri Veerasakthi Pharmacy,Ayurvedic pharmacy,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-057,Sriram Medical,Ayurvedic medicine store,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-058,Sri Vinayaga Medical,Ayurvedic medicine store,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-059,Amritha Ayurveda Centre,Ayurvedic centre,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-060,Jothi Herbals,Herbal/Ayurvedic store,Pudukkottai,Pudukkottai,Pudukkottai,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-061,Sri Ayyanar Patanjali Iyarkai Angadi,Ayurvedic store,Ariyalur,Ariyalur,Ariyalur district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-062,Himalaya Wellness,Ayurvedic store,Ariyalur,Ariyalur,Ariyalur district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-063,Thulasi Pharmacies,Ayurvedic pharmacy,Ariyalur,Ariyalur,Ariyalur district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-064,Kottakkal Arya Vaidya Sala,Ayurvedic pharmacy,Ariyalur,Ariyalur,Ariyalur district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-065,RR Ayurvedic & Siddha Hospital,Ayurvedic/Siddha hospital,Ariyalur,Ariyalur,Ariyalur district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-066,Siddha Ayurveda Pharmacy,Ayurvedic/Siddha pharmacy,Ariyalur,Ariyalur,Ariyalur district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-067,Karuvurar Nattu Marunthu Kadai,Traditional/Ayurvedic store,Ariyalur,Ariyalur,Ariyalur district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-068,Global Ayurvedic Agencies,Ayurvedic agency/store,Ariyalur,Ariyalur,Ariyalur district,,Directory listing,City/district only,Directory identification; verify before production use
TN-AS-069,APM Ayurvedic Herbal World,Ayurvedic store,Perambalur,Perambalur,Perambalur,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-070,Madhukshara Patanjali Shop,Ayurvedic store,Perambalur,Perambalur,Perambalur,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-071,Himalaya Wellness,Ayurvedic store,Perambalur,Perambalur,Perambalur,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-072,Thulasi Pharmacies,Ayurvedic pharmacy,Perambalur,Perambalur,Perambalur,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-073,Jothi Herbals,Herbal/Ayurvedic store,Perambalur,Perambalur,Perambalur,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-074,Palakad Chettiyar Naatu Marundhu Kadai,Traditional/Ayurvedic store,Perambalur,Perambalur,Perambalur,,Directory listing,Detailed address,Directory identification; verify before production use
TN-AS-075,Kottakkal Arya Vaidya Sala,Ayurvedic pharmacy,Perambalur,Perambalur,Perambalur,,Directory listing,Detailed address,Directory identification; verify before production use
